issuer,issuer_address,issuer_number,business_code,invoice_n,date,billed_to,email,website,deadline,data,subtotal,tax,total
Hernandez-Jackson,"195 Lisa Crossing Apt. 982
Colemanside, MT 79700",(844)200-8186x9584,169590182 694274402 925190986,35829,2020-09-16,Jeffery Osborne,felicia24@example.org,https://schultz-gomez.com/,3,"[[""architect synergistic portals"", 31.04, 9, 279.36], [""repurpose 24/7 e-tailers"", 418.15, 6, 2508.8999999999996], [""implement collaborative metrics"", 190.2, 2, 380.4], [""re-contextualize mission-critical markets"", 486.64, 3, 1459.92], [""reinvent virtual channels"", 420.36, 6, 2522.16], [""deploy clicks-and-mortar metrics"", 490.6, 10, 4906.0], [""architect 24/365 infrastructures"", 152.51, 3, 457.53], [""enhance 24/7 models"", 308.66, 2, 617.32]]",13131.59,2023.27,15154.86
Miranda-Lucas,"Unit 1273 Box 0288
DPO AA 02853",540.503.1382,266448995 405793956 211922411,82068,2018-05-23,Terry Schmidt,heatherallen@example.org,http://www.reynolds-caldwell.biz/,21,"[[""transform interactive models"", 465.76, 2, 931.52], [""brand web-enabled convergence"", 455.06, 5, 2275.3], [""repurpose turn-key portals"", 419.4, 2, 838.8], [""scale web-enabled channels"", 44.97, 3, 134.91], [""disintermediate holistic relationships"", 148.17, 6, 889.02], [""envisioneer revolutionary infrastructures"", 448.45, 7, 3139.15], [""generate value-added web-readiness"", 210.89, 7, 1476.23]]",9684.929999999998,679.19,10364.119999999999
"Blake, Bennett and Flynn","158 Katherine Ways Suite 751
Johnton, GA 10013",(232)220-7083,467633739 473487532 752505719,42407,2022-06-26,Michael Roberts,christopher89@example.org,https://reed.com/,45,"[[""matrix 24/365 applications"", 119.36, 1, 119.36], [""unleash efficient eyeballs"", 225.36, 5, 1126.8000000000002], [""strategize mission-critical mindshare"", 117.42, 10, 1174.2], [""whiteboard innovative action-items"", 234.95, 10, 2349.5], [""streamline vertical content"", 166.46, 3, 499.38]]",5269.240000000001,566.99,5836.2300000000005
"Hawkins, Brown and Hudson","4278 Rodgers Groves Suite 327
Teresamouth, ME 62932",602.768.1253x431,146804788 206747770 271645177,98398,2022-09-18,Jeffrey Lowe,todd62@example.org,https://garcia.biz/,54,"[[""cultivate leading-edge e-commerce"", 406.11, 7, 2842.77], [""revolutionize value-added partnerships"", 213.02, 7, 1491.14], [""synergize virtual applications"", 258.34, 8, 2066.72], [""aggregate B2C e-services"", 437.38, 9, 3936.42], [""transform robust architectures"", 343.57, 3, 1030.71], [""incubate bleeding-edge platforms"", 173.85, 3, 521.55], [""whiteboard revolutionary bandwidth"", 11.87, 4, 47.48], [""architect virtual e-tailers"", 193.43, 8, 1547.44], [""syndicate mission-critical communities"", 13.54, 6, 81.24], [""revolutionize one-to-one networks"", 218.32, 8, 1746.56]]",15312.029999999997,2810.71,18122.739999999998
Montoya LLC,"8730 Brenda Gateway Suite 511
West Derekburgh, AS 09093",001-373-316-9740x40845,781312114 364428064 563184982,42583,2020-11-30,Gina Bailey,james87@example.org,https://booth.com/,16,"[[""cultivate transparent methodologies"", 174.64, 2, 349.28], [""synergize open-source interfaces"", 250.13, 7, 1750.9099999999999], [""incubate ubiquitous e-markets"", 94.25, 8, 754.0], [""enhance one-to-one info-mediaries"", 275.7, 4, 1102.8], [""enable killer technologies"", 467.83, 10, 4678.3]]",8635.29,958.78,9594.070000000002
Williamson PLC,"0119 George Points Suite 034
Doughertyhaven, MP 80274",(234)186-5147,520956239 887089553 625190222,29452,2022-07-11,Teresa Brown,ybarnes@example.net,https://hammond.org/,40,"[[""target intuitive initiatives"", 201.64, 10, 2016.3999999999999], [""brand end-to-end interfaces"", 57.85, 9, 520.65], [""syndicate intuitive action-items"", 434.02, 1, 434.02], [""evolve open-source supply-chains"", 146.82, 5, 734.0999999999999]]",3705.1699999999996,217.49,3922.66
King LLC,"5871 Leonard Shores
North Seanmouth, ND 71124",(665)295-9803,541950613 590174937 100713602,62168,2021-08-10,Shaun Mcbride,hannahphillips@example.org,http://castillo.com/,40,"[[""exploit killer interfaces"", 64.0, 2, 128.0], [""transition seamless supply-chains"", 181.38, 6, 1088.28], [""facilitate plug-and-play interfaces"", 455.51, 2, 911.02], [""maximize clicks-and-mortar initiatives"", 429.78, 3, 1289.34], [""evolve 24/365 convergence"", 49.17, 8, 393.36], [""drive extensible metrics"", 271.07, 7, 1897.49], [""envisioneer efficient metrics"", 410.29, 5, 2051.4500000000003], [""target scalable action-items"", 243.88, 8, 1951.04], [""drive end-to-end initiatives"", 142.14, 3, 426.41999999999996], [""integrate cutting-edge action-items"", 177.53, 5, 887.65]]",11024.05,809.48,11833.529999999999
Glover Inc,"6583 Holland Corner Suite 932
North James, WY 11576",259-599-6698,845798130 393415975 683895335,47636,2022-09-02,Ricky Potter,jody49@example.net,https://www.anderson.com/,24,"[[""implement real-time solutions"", 298.71, 2, 597.42], [""disintermediate wireless applications"", 192.7, 9, 1734.3], [""synthesize turn-key infrastructures"", 205.44, 7, 1438.08], [""optimize viral users"", 131.38, 2, 262.76]]",4032.5599999999995,523.73,4556.289999999999
"Lam, Smith and Dominguez","36548 Davis Islands Suite 759
Vazquezville, IL 26722",279-352-5882x62316,915740420 673062450 179761587,91222,2020-12-29,Robert Lewis,yolandawebb@example.com,https://www.lyons.biz/,15,"[[""engage clicks-and-mortar functionalities"", 289.76, 7, 2028.32], [""disintermediate B2C mindshare"", 249.73, 7, 1748.11], [""incubate global models"", 261.79, 4, 1047.16], [""redefine B2C web services"", 469.43, 3, 1408.29], [""streamline sticky e-markets"", 405.11, 2, 810.22], [""leverage strategic e-business"", 426.39, 7, 2984.73], [""productize 24/7 bandwidth"", 169.04, 6, 1014.24], [""engage customized solutions"", 123.22, 10, 1232.2]]",12273.27,1620.2,13893.470000000001
"Phelps, Johnson and Martin","49340 Deborah Skyway Apt. 694
Lake Kellyborough, NH 88222",760.807.6282x561,613385239 608189405 578866549,82226,2019-04-10,Roger Potter,rwhite@example.net,https://www.edwards.com/,54,"[[""visualize transparent partnerships"", 278.2, 5, 1391.0], [""architect open-source solutions"", 161.63, 3, 484.89], [""cultivate virtual metrics"", 342.88, 1, 342.88]]",2218.77,114.28,2333.05
Chapman Inc,"0715 Erika Canyon Suite 178
Parrishland, NJ 16130",001-366-731-2465x8270,265115982 622202834 454478345,47556,2019-05-06,Rebecca Maldonado,chadlee@example.net,https://www.acevedo-robinson.biz/,54,"[[""maximize out-of-the-box platforms"", 20.95, 5, 104.75], [""maximize killer e-markets"", 479.65, 4, 1918.6], [""re-intermediate robust niches"", 329.18, 7, 2304.26], [""repurpose sticky initiatives"", 119.06, 9, 1071.54], [""implement value-added channels"", 239.74, 2, 479.48], [""incentivize next-generation info-mediaries"", 278.94, 10, 2789.4], [""grow robust ROI"", 264.9, 10, 2649.0], [""brand strategic systems"", 178.12, 3, 534.36], [""mesh compelling paradigms"", 395.71, 10, 3957.1]]",15808.490000000002,2567.15,18375.640000000003
Waters Ltd,"270 Ortiz Path Apt. 587
Lake Frank, ND 98744",321-208-0993x814,873904614 946808901 433103437,27220,2020-06-03,Jeffrey Washington,gonzalestimothy@example.com,http://taylor.com/,36,"[[""re-contextualize scalable eyeballs"", 301.81, 7, 2112.67], [""drive 24/365 vortals"", 150.3, 2, 300.6], [""transform world-class supply-chains"", 495.06, 3, 1485.18], [""aggregate real-time e-commerce"", 107.82, 10, 1078.1999999999998], [""facilitate user-centric users"", 52.48, 4, 209.92]]",5186.57,343.83,5530.4
Fields Ltd,"PSC 9267, Box 9745
APO AP 43411",001-798-785-3510x1029,659882285 549479731 415014534,66291,2022-02-20,Sandra Huynh,luislawson@example.org,http://www.cortez.com/,1,"[[""leverage wireless schemas"", 135.41, 10, 1354.1], [""strategize user-centric systems"", 114.58, 3, 343.74], [""empower wireless deliverables"", 456.33, 1, 456.33], [""synthesize dynamic paradigms"", 334.87, 6, 2009.22], [""synthesize interactive interfaces"", 44.23, 10, 442.29999999999995]]",4605.6900000000005,893.75,5499.4400000000005
Vega LLC,"2000 Steven Cliff Apt. 030
Catherinemouth, AK 20547",786-786-7199,916369228 299057439 619531230,80812,2021-02-10,Samuel Miranda,jesse60@example.org,http://www.cordova.com/,54,"[[""disintermediate extensible web services"", 443.32, 7, 3103.24], [""leverage bleeding-edge communities"", 195.6, 7, 1369.2], [""syndicate leading-edge info-mediaries"", 432.49, 10, 4324.9], [""aggregate next-generation technologies"", 445.84, 8, 3566.72], [""incentivize B2C e-services"", 11.38, 8, 91.04], [""redefine clicks-and-mortar users"", 174.69, 5, 873.45], [""monetize leading-edge action-items"", 43.6, 3, 130.8], [""syndicate distributed supply-chains"", 100.34, 10, 1003.4000000000001], [""utilize front-end models"", 80.97, 6, 485.82]]",14948.57,2337.55,17286.12
"Taylor, Nelson and Harris","85598 Riley Keys
Angelaberg, NJ 78667",132.918.0822x021,369365293 370287986 916934640,56926,2019-07-10,Joseph Mcdonald,wnelson@example.org,https://www.rosales.com/,5,"[[""matrix integrated e-tailers"", 205.65, 8, 1645.2]]",1645.2,246.13,1891.33
Daniels LLC,"2358 Huff Village Apt. 581
Lake Tyler, ID 81070",+1-075-344-9271x29684,693384709 937431793 866150797,53780,2019-04-02,William Williams,julia88@example.org,https://www.johnson.com/,37,"[[""re-intermediate end-to-end systems"", 370.08, 6, 2220.48], [""maximize sticky e-markets"", 484.98, 6, 2909.88], [""seize seamless info-mediaries"", 254.44, 3, 763.3199999999999], [""strategize strategic bandwidth"", 322.01, 4, 1288.04], [""expedite magnetic e-markets"", 371.62, 9, 3344.58], [""empower transparent markets"", 78.13, 8, 625.04], [""architect world-class infrastructures"", 442.78, 3, 1328.34], [""re-contextualize web-enabled e-commerce"", 470.17, 6, 2821.02]]",15300.7,1705.72,17006.420000000002
Chambers-Armstrong,"18714 Hall Overpass Apt. 227
Lake Jason, MT 22073",724.583.6550x6236,810752710 227942684 141716643,480,2019-07-01,Matthew Wright,boydtimothy@example.com,https://bond.com/,58,"[[""implement web-enabled interfaces"", 135.06, 8, 1080.48], [""benchmark transparent initiatives"", 405.14, 3, 1215.42], [""deploy proactive mindshare"", 167.04, 6, 1002.24], [""empower 24/7 communities"", 481.05, 5, 2405.25], [""productize enterprise applications"", 70.97, 10, 709.7], [""synergize compelling systems"", 270.89, 4, 1083.56], [""deploy scalable e-services"", 171.69, 4, 686.76]]",8183.41,966.91,9150.32
"Martin, Martin and Morgan","138 Amy Corner
East Lucas, DE 25281",322-943-4347x9939,768316864 168938230 730837910,10068,2021-09-07,Dr. Daniel Dougherty II,smithkeith@example.com,https://atkinson-hebert.com/,32,"[[""redefine best-of-breed functionalities"", 264.9, 10, 2649.0], [""brand bricks-and-clicks paradigms"", 38.5, 5, 192.5], [""innovate proactive info-mediaries"", 110.88, 5, 554.4], [""exploit intuitive experiences"", 255.48, 3, 766.4399999999999], [""grow efficient methodologies"", 258.16, 9, 2323.44], [""syndicate frictionless e-tailers"", 250.45, 2, 500.9], [""whiteboard dynamic solutions"", 330.78, 4, 1323.12], [""revolutionize cutting-edge e-markets"", 478.87, 3, 1436.6100000000001], [""maximize sticky functionalities"", 22.61, 2, 45.22]]",9791.63,1385.08,11176.71
Hickman Group,"90761 Sandra Tunnel Apt. 266
Silvamouth, FM 69869",956.115.7711x3496,677263383 553435877 489465915,96382,2021-07-11,Amanda Maldonado,danielklein@example.net,http://www.wheeler-brady.com/,25,"[[""disintermediate killer technologies"", 188.93, 2, 377.86], [""incentivize real-time users"", 256.99, 8, 2055.92], [""drive global web services"", 359.19, 9, 3232.71], [""disintermediate killer convergence"", 191.05, 2, 382.1], [""brand rich schemas"", 309.3, 8, 2474.4], [""unleash global methodologies"", 194.74, 7, 1363.18], [""disintermediate killer functionalities"", 242.9, 10, 2429.0]]",12315.17,821.95,13137.12
"Delgado, Clayton and Alvarez","04200 Linda Roads
Lake Andreatown, RI 55765",001-119-358-2617x286,151305509 562168893 296753502,89836,2022-10-17,James Wood,tiffany21@example.net,http://stevens.com/,31,"[[""incubate innovative info-mediaries"", 35.22, 2, 70.44], [""deliver web-enabled schemas"", 446.02, 8, 3568.16], [""deliver interactive paradigms"", 322.28, 7, 2255.96], [""syndicate cross-media content"", 339.32, 10, 3393.2], [""revolutionize real-time ROI"", 123.52, 2, 247.04], [""engineer plug-and-play deliverables"", 347.52, 2, 695.04], [""re-contextualize collaborative e-services"", 123.24, 6, 739.4399999999999], [""iterate virtual technologies"", 233.55, 10, 2335.5]]",13304.78,2553.31,15858.09
Shaw Group,"387 Davis Dam
North Katherinemouth, AZ 63680",265.686.6836,508294557 189071266 326541659,44897,2023-01-09,Samuel Long,teresapierce@example.com,http://www.may.biz/,54,"[[""incentivize innovative relationships"", 105.1, 8, 840.8], [""disintermediate 24/7 technologies"", 34.65, 1, 34.65], [""e-enable extensible content"", 52.82, 5, 264.1], [""transform dynamic ROI"", 372.25, 9, 3350.25], [""visualize seamless supply-chains"", 310.96, 6, 1865.7599999999998]]",6355.5599999999995,603.93,6959.49
Davis-Mccullough,"2538 Yvette Underpass
New Christopherbury, WY 41913",418.144.6941x1645,279165969 159145906 603790001,28263,2022-06-27,Rhonda Scott,heather45@example.com,http://roberts.com/,47,"[[""benchmark proactive info-mediaries"", 25.13, 3, 75.39], [""re-contextualize leading-edge content"", 368.65, 4, 1474.6]]",1549.99,211.58,1761.57
Benjamin-Stanton,"2074 Kelly Spurs
North Erinborough, GA 46889",(015)642-0490,201692478 462247224 607444996,24486,2021-06-27,Richard Huffman,blake81@example.net,https://www.williams.org/,50,"[[""matrix synergistic mindshare"", 419.51, 4, 1678.04], [""deploy robust e-commerce"", 324.66, 5, 1623.3000000000002], [""maximize real-time users"", 458.46, 8, 3667.68], [""embrace holistic synergies"", 394.16, 7, 2759.1200000000003]]",9728.140000000001,942.19,10670.330000000002
"Perkins, Johnson and Mann","61877 Carla Track Suite 669
Torresview, MP 69550",(887)215-4982x830,202643513 478934582 127970833,11578,2022-11-14,Samantha Garrison,prattpaula@example.com,https://www.hoover.com/,30,"[[""revolutionize frictionless systems"", 16.67, 3, 50.010000000000005], [""grow ubiquitous synergies"", 193.79, 9, 1744.11], [""exploit cutting-edge portals"", 266.22, 7, 1863.5400000000002], [""innovate 24/7 architectures"", 197.92, 3, 593.76], [""unleash e-business convergence"", 404.35, 6, 2426.1000000000004], [""transform proactive content"", 438.5, 10, 4385.0], [""mesh integrated eyeballs"", 206.93, 10, 2069.3], [""empower distributed metrics"", 194.56, 9, 1751.04]]",14882.86,968.02,15850.880000000001
Moreno PLC,"50503 Knox Summit
Vincentport, SC 84130",814.975.2998x323,416131945 260859994 285696656,75623,2019-07-21,Adriana Sullivan,brittany89@example.net,http://www.robinson.com/,2,"[[""re-intermediate interactive action-items"", 325.61, 10, 3256.1000000000004], [""brand impactful ROI"", 492.48, 4, 1969.92], [""evolve value-added metrics"", 310.21, 4, 1240.84], [""expedite 24/7 functionalities"", 122.11, 2, 244.22], [""unleash strategic partnerships"", 367.2, 7, 2570.4]]",9281.480000000001,1761.95,11043.430000000002
