ABN,issuer,issuer_address,billing_address,invoice_n,date,date_period,reference_n,billed_to,total_without_GST,GST,total_with_GST,data
79645151195,Morales Inc Pty Ltd,"USNS Fisher, FPO AP 69391","61170 Melton Burgs Apt. 750, West Robertmouth, DC 02790",0d66655e-fad0-4785-bc70-84b2e1022f54,01/12/1999,16/09/2009,8326801,Amber Garza,622.19,62.22,684.41,"[[""30/11/2012"", ""facilitate cutting-edge paradigms"", 226.66], [""23/02/2015"", ""architect front-end markets"", 395.53]]"
55646872191,"Sosa, Williams and Atkinson Pty Ltd","0657 Elizabeth Prairie, Holtfurt, NE 65223","84359 Sabrina Brook, West Loriland, WA 59367",f7da0655-e6a6-4613-a785-93e03797da98,11/01/2023,09/11/2018,9457735,Monica Bass,900.61,90.06,990.67,"[[""04/06/2021"", ""implement extensible markets"", 493.56], [""07/09/2004"", ""scale dynamic web-readiness"", 407.05]]"
48804315800,"Howell, Robinson and Atkins Pty Ltd","0728 Rachel Island, Timothytown, AS 43652","5875 Louis Meadows, Ashleytown, SC 58190",e2bf6b5c-2b5d-472d-b719-1a18f023cc8a,04/08/2003,09/04/2022,9034480,Monica Santos,799.73,79.97,879.7,"[[""08/09/1994"", ""implement next-generation e-markets"", 240.35], [""14/08/1996"", ""revolutionize magnetic partnerships"", 195.61], [""12/09/2002"", ""embrace seamless info-mediaries"", 363.77]]"
79479229427,Mcdonald PLC Pty Ltd,"1195 Weaver Cliffs Suite 075, New Meganside, KS 63259","651 Daniel Run Suite 745, Port Karen, SC 56332",eadb8512-6986-4f67-b3d3-24a355f911e8,15/11/2021,09/03/2004,675398,Robert Thompson,559.63,55.96,615.59,"[[""27/09/2012"", ""drive distributed info-mediaries"", 311.65], [""03/01/2021"", ""matrix world-class platforms"", 247.98]]"
44780469123,Martin Group Pty Ltd,"1346 Sims Plain, Port Anthonyville, PW 94818","17489 Waller Heights, Anneville, DC 69255",c6720e72-1d07-4fd8-88c4-79e7ad573f5d,01/09/1997,10/07/2011,6180590,Eric Jackson,473.82,47.38,521.2,"[[""07/05/2022"", ""optimize interactive e-services"", 473.82]]"
1066579726,Torres Group Pty Ltd,"65552 Jeffrey Manors Suite 438, Simpsonside, SD 29084","USCGC Kelley, FPO AE 73619",1ab44798-5a5f-471e-a34d-5c26166ff188,26/07/1994,20/02/2018,2594113,Wendy Griffin,790.65,79.06,869.71,"[[""04/02/1994"", ""matrix B2C solutions"", 136.75], [""23/01/2013"", ""transform killer systems"", 469.98], [""08/11/2007"", ""cultivate mission-critical architectures"", 183.92]]"
24813246910,Haynes-Gomez Pty Ltd,"PSC 1766, Box 4547, APO AE 88742","05426 Brian Manor Apt. 277, Markville, UT 02009",8c86a568-4c06-464c-b2cf-cf924c248bb1,10/12/2011,27/05/1994,8923587,Hailey White,589.89,58.99,648.88,"[[""14/06/2021"", ""morph user-centric applications"", 154.24], [""04/02/1994"", ""streamline user-centric technologies"", 435.65]]"
32927077402,Petersen Ltd Pty Ltd,"40052 Brown Square Apt. 421, East Stephanie, MP 39162","969 Harper Bridge, Masonstad, OR 81895",fcb7d634-0b2b-4ee0-8c0b-2e6af626710f,06/12/2005,19/11/2001,1944306,Vickie White,1161.41,116.14,1277.55,"[[""03/07/2017"", ""incubate leading-edge users"", 97.99], [""08/05/2004"", ""expedite distributed paradigms"", 407.86], [""19/05/1997"", ""transition strategic ROI"", 453.73], [""17/12/2002"", ""empower user-centric vortals"", 174.01], [""14/07/2009"", ""synthesize vertical e-business"", 27.82]]"
82887475467,"Thomas, Ray and Simpson Pty Ltd","5505 Patricia Road, Kelseyburgh, FL 57501","8692 Ward Spur Apt. 506, Nicholasland, NC 08340",21a38ef3-e956-4ad5-9185-ba970eb9b7b4,16/06/2008,04/03/2009,9144795,Lucas Caldwell,472.98,47.3,520.28,"[[""28/01/2014"", ""matrix efficient e-services"", 472.98]]"
4859709175,Campbell-Poole Pty Ltd,"497 Emily Fords, Hernandezchester, WV 43150","18860 Miller Turnpike Apt. 136, Millerchester, RI 71076",6e6efcb3-2c05-44cd-97bf-b21952c2edb6,30/11/1995,09/07/1999,9197052,Zachary Taylor,358.67,35.87,394.54,"[[""14/07/2019"", ""engage next-generation communities"", 358.67]]"
50167845012,"Ramirez, Boyle and Vargas Pty Ltd","1056 Howard Curve Suite 806, Mccoyport, NM 08989","64043 Patterson Freeway, Martinezview, PA 14210",85cfe36e-4691-4a2f-a22a-fa28f72a75b9,14/02/2008,12/04/2006,6031933,Kara Neal,880.78,88.08,968.86,"[[""11/11/2016"", ""unleash front-end e-services"", 444.05], [""11/06/2014"", ""engage cross-media eyeballs"", 224.21], [""27/05/2006"", ""whiteboard seamless methodologies"", 212.52]]"
24915429314,Fuentes LLC Pty Ltd,"13439 Nguyen Islands Apt. 074, Lake Ronaldchester, WA 80929","33835 Holder Fork Apt. 992, Guerreroton, MI 20232",7d096c8d-87e1-4074-8cae-3a66d3446317,04/12/1997,31/08/2000,6421230,Lindsey Anderson,112.93,11.29,124.22,"[[""10/09/1994"", ""envisioneer enterprise communities"", 112.93]]"
8880957694,"Kim, Potter and Olson Pty Ltd","2704 Jonathan Plaza Apt. 654, North Nicholas, MO 99735","3693 Pamela Junctions, Knightstad, SC 56463",147e9e99-6956-4098-a043-634defe4992b,14/08/1998,24/05/1994,7798089,Lisa Ewing,403.56,40.36,443.92,"[[""05/08/2000"", ""re-intermediate impactful users"", 38.86], [""14/07/2011"", ""transition out-of-the-box solutions"", 106.67], [""25/03/2014"", ""engineer mission-critical synergies"", 94.92], [""06/10/1995"", ""generate 24/365 supply-chains"", 51.17], [""12/09/2011"", ""extend dot-com mindshare"", 111.94]]"
18686025314,Lopez and Sons Pty Ltd,"6514 Lam Burg, Lake Tami, LA 68992","76647 Gregory Roads, North Michaela, CT 40773",3e0d58d8-b17b-45cf-87c4-bf9cf0b1704e,13/04/2017,05/10/2004,1239287,Mary Gibbs,718.93,71.89,790.82,"[[""17/04/2004"", ""facilitate bleeding-edge ROI"", 47.12], [""10/11/2012"", ""repurpose one-to-one e-services"", 273.25], [""30/04/2000"", ""repurpose global synergies"", 180.55], [""25/10/2012"", ""benchmark user-centric mindshare"", 218.01]]"
96300160448,Johns PLC Pty Ltd,"12802 Jackson Stravenue Suite 616, New Sonya, DE 19472","4754 Russell Port Apt. 565, Jacquelineside, MO 62916",4cf4ca42-da9e-4d1b-9213-8cfb76b584b2,29/03/2004,27/12/2008,6468538,Gabriella Brooks,492.3,49.23,541.53,"[[""25/05/1993"", ""revolutionize distributed content"", 492.3]]"
3560870953,Rivera-Scott Pty Ltd,"27500 Bell Mission Apt. 361, Port Taylortown, PA 43435","Unit 3688 Box 3553, DPO AA 19624",32049cfb-55a8-4f9d-8584-5daf093f5475,26/10/2020,26/10/2001,6795498,Marissa Contreras,514.38,51.44,565.82,"[[""28/07/1993"", ""transform 24/7 schemas"", 222.11], [""23/10/2017"", ""revolutionize revolutionary networks"", 5.74], [""11/12/2016"", ""empower out-of-the-box portals"", 286.53]]"
67995622707,Martinez Inc Pty Ltd,"Unit 5477 Box 0647, DPO AE 40792","5377 Chase Rue, Davidmouth, MA 11948",f87b006a-fa7b-4540-8f79-2821883ef0ea,19/04/2010,15/06/2017,9680925,David Smith,1294.64,129.46,1424.1,"[[""21/05/2012"", ""deliver user-centric e-tailers"", 260.08], [""21/08/2016"", ""revolutionize innovative markets"", 330.68], [""01/06/2009"", ""integrate robust experiences"", 283.67], [""11/02/2015"", ""optimize bleeding-edge users"", 420.21]]"
48258671929,"Scott, Clark and Collier Pty Ltd","927 Jessica Fall Apt. 793, Rachelton, NM 46660","1070 James Summit Suite 231, Grayfort, AK 66533",2b7332a2-e81b-4c37-8282-658dd9f6bf89,15/05/2012,03/05/1994,3430602,Jonathan Smith,965.21,96.52,1061.73,"[[""16/01/2007"", ""whiteboard bleeding-edge experiences"", 313.83], [""04/01/2000"", ""utilize seamless interfaces"", 68.66], [""06/07/2011"", ""mesh compelling e-markets"", 427.62], [""15/03/2010"", ""empower clicks-and-mortar deliverables"", 155.1]]"
46225197499,"Flores, Mitchell and Wilcox Pty Ltd","392 Smith Roads Apt. 013, Jeffside, WY 33114","6480 King Ridge Apt. 351, Perezville, GA 00832",6ef6a84f-cf8c-4513-9fe0-e1f9b28db512,14/06/1999,15/05/2017,2241494,Patrick Tapia,1013.61,101.36,1114.97,"[[""08/05/2011"", ""redefine global ROI"", 322.86], [""11/08/1993"", ""deliver proactive e-services"", 320.78], [""11/03/1994"", ""e-enable scalable e-services"", 369.97]]"
17627172236,"Miller, Winters and Mcdonald Pty Ltd","PSC 7547, Box 1174, APO AA 21665","8056 Nicole Canyon Suite 573, North Debbieport, IA 12446",3992b303-05ea-4cb3-b5f3-28b0a7846572,19/11/1995,27/06/2004,5468229,Tara Hendricks,738.95,73.9,812.85,"[[""26/03/1994"", ""leverage transparent relationships"", 191.98], [""20/10/2020"", ""generate clicks-and-mortar models"", 111.28], [""15/08/2015"", ""deploy frictionless e-business"", 435.69]]"
92938335897,Hurst-Armstrong Pty Ltd,"1633 Jordan Gateway, Walkermouth, OK 92218","29952 Crystal Dam, Theresachester, ME 08488",80a3ab41-59d5-4bc8-a78b-005180e90576,03/03/1999,08/07/2013,3946886,John Schaefer,1237.36,123.74,1361.1,"[[""02/07/2020"", ""synthesize revolutionary networks"", 386.33], [""09/07/2020"", ""morph revolutionary technologies"", 452.05], [""18/10/1999"", ""grow virtual metrics"", 70.07], [""17/04/2018"", ""engage visionary convergence"", 328.91]]"
30021058649,"Deleon, Thomas and Guerrero Pty Ltd","Unit 1240 Box 4492, DPO AE 31475","881 Courtney Course, Amandaberg, PW 28916",13a210ba-9d66-44f4-8918-16c1ef871f9b,29/09/2005,08/10/2020,5804646,Kenneth Mccoy,1305.69,130.57,1436.26,"[[""07/02/2009"", ""disintermediate plug-and-play eyeballs"", 276.34], [""30/03/2012"", ""facilitate ubiquitous communities"", 213.51], [""11/06/2015"", ""enhance visionary niches"", 63.91], [""28/03/2006"", ""facilitate ubiquitous architectures"", 499.43], [""28/08/2000"", ""grow bricks-and-clicks portals"", 252.5]]"
45923263826,Valdez and Sons Pty Ltd,"2100 Danielle Alley, Lake Jessica, MI 84897","23315 Mary Crossroad, North Antonioborough, WI 83828",4b0e9c14-5ac4-4196-acfd-83cda3bb93af,21/08/2009,13/07/2004,400845,Crystal Mckee,49.29,4.93,54.22,"[[""15/06/2007"", ""reinvent scalable eyeballs"", 49.29]]"
2848118167,Gentry PLC Pty Ltd,"USS Lopez, FPO AA 65526","410 Pamela Plaza Suite 825, Kirkstad, AZ 70187",b8c2270d-c3fa-4c2b-bd8a-fef110df0aac,09/12/2002,22/08/2008,313063,Matthew Finley,289.88,28.99,318.87,"[[""29/02/1996"", ""incubate frictionless infrastructures"", 47.25], [""28/10/2012"", ""disintermediate wireless e-commerce"", 230.91], [""19/01/2019"", ""expedite turn-key models"", 11.72]]"
97839312334,Garcia and Sons Pty Ltd,"863 John Squares, Lake Kimberlyfort, AZ 94645","9764 Jose Points, New Jessicaview, KS 62281",4d9fdf10-3173-4c0c-b728-256ce770c79f,18/02/2004,09/12/2011,888539,Carolyn Jackson,1231.45,123.15,1354.6,"[[""30/06/2014"", ""transform value-added content"", 342.2], [""20/06/2008"", ""orchestrate frictionless partnerships"", 256.02], [""05/12/1997"", ""drive dynamic content"", 398.92], [""13/02/2019"", ""re-contextualize B2B eyeballs"", 234.31]]"
10419163909,Gonzalez-Reid Pty Ltd,"560 Bonnie Falls Apt. 025, Wagnerbury, FM 41056","893 Benjamin Ford, Taylorchester, MA 48799",fbf25739-12bd-4b2e-ac93-cfd067585383,11/04/2012,17/03/2011,7572052,Henry Giles,758.27,75.83,834.1,"[[""16/08/2003"", ""unleash intuitive web-readiness"", 379.89], [""20/03/2009"", ""aggregate extensible solutions"", 334.76], [""20/10/2000"", ""integrate impactful ROI"", 42.51], [""07/10/2010"", ""synergize sticky networks"", 1.11]]"
6750814857,Sherman Ltd Pty Ltd,"04087 Kylie Mountains, Reyeshaven, UT 41076","49329 Cunningham Route, North Deniseland, ID 03671",7b4719ad-3574-422c-aef0-7cb7e1a3f371,30/08/2016,10/02/1999,6380199,Mark Fields,412.92,41.29,454.21,"[[""04/04/2021"", ""morph transparent supply-chains"", 412.92]]"
80585412814,White-Fleming Pty Ltd,"047 Miller Ways Suite 544, Port Sarah, NJ 01915","940 Fuentes Springs Suite 625, North Erin, MI 67144",1ca44a83-783c-4449-8b35-b1a082a7abf4,07/09/2012,08/07/1995,5042827,Hannah Hopkins,589.76,58.98,648.74,"[[""23/04/2003"", ""matrix killer communities"", 344.19], [""09/03/2023"", ""repurpose one-to-one e-services"", 245.57]]"
60055927704,"Cruz, Zhang and Ramirez Pty Ltd","7936 Elliott Bridge Apt. 963, Williamstad, RI 23849","8961 Victoria Lock Apt. 296, Warnerhaven, IL 77296",291b2cf9-1cfb-4019-9af9-11ef104e5c10,26/09/2012,15/01/1999,4566136,Jacob Underwood,302.0,30.2,332.2,"[[""30/09/2001"", ""leverage seamless networks"", 302.0]]"
39268326540,Mcdaniel and Sons Pty Ltd,"06868 Luke Route, Charlesfort, MH 14731","79563 Teresa Drive Apt. 178, Maddoxton, FL 61810",1288a7b2-6191-4624-bd6c-552f3e008361,21/11/2006,07/10/2004,4221679,John Coleman,147.35,14.73,162.08,"[[""14/12/2007"", ""embrace granular solutions"", 147.35]]"
4032867964,"Thomas, Flynn and Williams Pty Ltd","4052 Williams Mews Apt. 458, Isaacburgh, NY 85221","35837 Allen Unions, Baileyshire, SD 43828",78b02286-7f9d-4d55-94ac-fcdc422d3bcb,19/04/2009,07/02/2005,8649821,Paul Garcia,466.83,46.68,513.51,"[[""15/04/2005"", ""re-contextualize wireless e-markets"", 466.83]]"
73114031184,Lyons-Anderson Pty Ltd,"3849 Jennings Shoal Apt. 600, East Matthew, WY 44872","25491 Woods Pines, Rhodesland, LA 66982",0a370e70-0770-4299-a5cd-2b4aeb6e950b,15/10/2004,12/05/2016,4729868,Ryan Lopez,987.1,98.71,1085.81,"[[""02/11/1998"", ""transition world-class deliverables"", 283.48], [""11/06/2015"", ""deliver global supply-chains"", 210.93], [""23/03/2022"", ""harness enterprise functionalities"", 291.35], [""29/07/2000"", ""architect scalable communities"", 42.44], [""17/12/2008"", ""transition dynamic experiences"", 158.9]]"
99813457153,Beasley-Phelps Pty Ltd,"546 Nelson Groves, New Danny, MD 12680","90065 Thompson Parkway Suite 447, Port Angela, AK 64347",b785df6d-a503-4f2f-914e-5ca780dbfbc4,26/05/1998,12/07/2004,7053083,Megan Anderson,632.25,63.23,695.48,"[[""19/10/2002"", ""redefine 24/365 e-commerce"", 459.09], [""20/04/2016"", ""architect ubiquitous deliverables"", 173.16]]"
48096526053,Cannon Inc Pty Ltd,"617 Clark Mission Apt. 793, Port Wesleyfurt, MS 93261","PSC 2638, Box 2417, APO AE 75146",c9368d90-efa3-45d9-8003-f8044d690cf4,26/12/2022,12/11/2005,2577216,John Johns,709.05,70.91,779.96,"[[""24/10/2017"", ""repurpose compelling technologies"", 301.44], [""11/11/2010"", ""deliver B2C convergence"", 214.37], [""31/12/2013"", ""redefine e-business bandwidth"", 30.1], [""30/11/2007"", ""engage open-source solutions"", 163.14]]"
31565945591,Williams Inc Pty Ltd,"084 Oconnell Fort, East Lisa, FM 33575","980 Tate Burg, South Nicoleburgh, KY 69118",0088a5df-94bd-4002-ab49-bf3ba3c0221b,31/10/2010,09/06/2004,6159274,Daniel Mendez,80.74,8.07,88.81,"[[""08/08/2016"", ""empower killer content"", 80.74]]"
75503559653,Jones Ltd Pty Ltd,"2709 Darrell Fords, Joshuaton, OK 94639","4215 Jason Extensions Apt. 163, Joshuafurt, PW 63669",7cc3e392-b9dd-4a26-ac03-443e22c9a2ca,17/07/2005,30/11/2013,2032488,Tina Johnson,275.25,27.53,302.78,"[[""09/08/2011"", ""benchmark virtual e-markets"", 275.25]]"
65726083793,Frazier-Jenkins Pty Ltd,"18024 Hurst Shores, Port Patrickfort, OK 40311","6157 Gregory Tunnel Suite 264, Donaldland, DE 02222",7c5ccbde-f4c1-4338-a90c-f8218fb2ec83,19/09/2020,19/02/1997,4366951,Jill Acosta,1127.85,112.78,1240.63,"[[""20/01/2007"", ""transition killer platforms"", 357.69], [""23/02/2022"", ""incubate sticky paradigms"", 447.2], [""28/03/2019"", ""cultivate customized e-tailers"", 322.96]]"
38549245375,Aguilar-Booth Pty Ltd,"312 Weber Vista, Trujilloberg, HI 49249","Unit 5067 Box 2953, DPO AP 41054",505b3103-fb02-472d-8e02-842e5f350603,02/08/1994,01/03/2013,429869,Cassandra Hughes,844.32,84.43,928.75,"[[""19/12/2022"", ""enhance sticky ROI"", 456.54], [""08/04/2007"", ""enhance bleeding-edge e-business"", 387.78]]"
32085044594,"Owens, Rogers and Smith Pty Ltd","6309 Chambers Drive Suite 814, Carlosport, AR 37528","453 Compton Island, Andrewside, SC 37513",bb9e6e03-0c58-414a-9b9a-39a79ffbde70,30/05/2007,07/06/2015,6277976,Russell Booth,699.68,69.97,769.65,"[[""05/10/1994"", ""morph real-time experiences"", 8.75], [""15/09/2007"", ""orchestrate next-generation e-commerce"", 286.11], [""12/06/2016"", ""enhance turn-key web services"", 329.0], [""19/08/2004"", ""enable ubiquitous channels"", 75.82]]"
87633415140,"Ferguson, Reeves and Hughes Pty Ltd","87629 Tracey Park, Cameronton, OR 06327","087 Dawn Skyway, Huntview, AZ 44453",836bffe6-511e-47aa-9950-6c871aaf2c8a,07/11/1995,15/01/2001,2020599,Sheila Watson,472.28,47.23,519.51,"[[""21/10/1999"", ""aggregate enterprise synergies"", 472.28]]"
