issuer,issuer_address,issuer_number,business_code,invoice_n,date,billed_to,email,website,deadline,data,subtotal,tax,total
Morrison Ltd,"858 Amanda Ridge
Wilkersonberg, AR 15457",936-575-2616,9408354,2776,2020-12-31,Kelsey Martin,schase@example.net,http://ritter-taylor.com/,36,"[[""syndicate dot-com initiatives"", 18.72, 4, 74.88], [""deploy robust models"", 80.25, 6, 481.5], [""strategize B2C markets"", 333.61, 4, 1334.44], [""architect visionary networks"", 200.41, 7, 1402.87]]",3293.69,380.39,3674.08
Barnes-Thomas,"5363 Choi Throughway Apt. 536
West Emily, MS 93260",(815)001-7813,5324716,71348,2023-03-12,Brian Bennett,robinjackson@example.net,https://www.foster.net/,8,"[[""streamline bleeding-edge channels"", 20.21, 10, 202.1], [""optimize holistic action-items"", 280.64, 1, 280.64], [""reinvent open-source methodologies"", 256.38, 4, 1025.52], [""repurpose compelling users"", 77.35, 3, 232.05]]",1740.31,92.14,1832.45
Smith Ltd,"USNS Harrison
FPO AE 89039",978-092-9601,8998310,70957,2022-05-20,Danielle Harris,johnyu@example.net,https://rodgers.biz/,13,"[[""empower intuitive systems"", 459.86, 1, 459.86]]",459.86,78.75,538.61
"Thomas, Brown and Blake","USCGC Miller
FPO AP 48687",573-005-7546,4866424,49356,2021-04-02,Nicholas Conner,velasquezdiamond@example.org,https://may-abbott.com/,43,"[[""orchestrate rich experiences"", 102.73, 9, 924.57], [""redefine vertical schemas"", 51.58, 5, 257.9], [""envisioneer web-enabled e-business"", 321.38, 7, 2249.66], [""revolutionize strategic web-readiness"", 67.15, 8, 537.2]]",3969.33,238.3,4207.63
Martinez-Hodges,"4102 Webb Route
Allenburgh, DC 57248",604-731-2817x4211,9712921,36912,2018-09-27,John Garza,amanda81@example.com,https://sampson.com/,36,"[[""optimize customized convergence"", 61.19, 6, 367.14]]",367.14,24.55,391.69
Williams-Williams,"42425 Sandra Center
East Garrettton, AS 74780",+1-881-012-1827x981,4785684,28933,2022-10-18,Krista Jarvis,jamie00@example.org,http://stone.com/,17,"[[""facilitate real-time channels"", 467.43, 4, 1869.72], [""facilitate intuitive eyeballs"", 146.89, 2, 293.78], [""strategize wireless systems"", 464.91, 4, 1859.64]]",4023.1400000000003,793.39,4816.53
Kim PLC,"09832 Warren Station
East Davidfort, UT 68179",+1-455-947-5719x89257,3680269,88865,2019-11-03,Jordan Cox,gdoyle@example.com,http://www.davis.com/,52,"[[""extend B2B communities"", 196.39, 2, 392.78], [""drive one-to-one metrics"", 354.39, 8, 2835.12]]",3227.8999999999996,195.25,3423.15
Sandoval and Sons,"46065 James Creek Suite 019
Jenniferton, AR 99311",584-586-8101x816,2813629,4301,2021-10-23,Dylan Clay,holderjames@example.net,https://www.floyd.com/,5,"[[""generate revolutionary experiences"", 151.84, 2, 303.68], [""aggregate mission-critical interfaces"", 201.67, 2, 403.34]]",707.02,60.52,767.54
Mcconnell LLC,"Unit 4536 Box 7273
DPO AA 34642",1182332176,8334160,39692,2019-08-01,Jonathan Hoffman,williamhall@example.com,https://www.baker.com/,38,"[[""deliver impactful synergies"", 437.99, 3, 1313.97], [""iterate vertical bandwidth"", 50.79, 3, 152.37], [""unleash innovative channels"", 253.54, 7, 1774.78], [""facilitate killer solutions"", 226.53, 2, 453.06], [""grow dynamic channels"", 61.73, 4, 246.92]]",3941.1,521.34,4462.44
"Bartlett, Hall and Robinson","7463 Sandra Park
Johnchester, WY 20266",921.187.8017,5462327,63363,2023-02-23,Brittany Brandt,shawn15@example.net,https://www.hill.com/,47,"[[""empower viral models"", 107.01, 1, 107.01], [""monetize e-business e-tailers"", 426.85, 7, 2987.95], [""incubate rich platforms"", 169.6, 4, 678.4]]",3773.36,611.53,4384.89
