issuer,invoice_n,billed_to,mobile,address,date,issuer_phone,email,issuer_address,bank_name,account_n,data,subtotal,discount,total
Nguyen LLC,35172-5,JAY CLARK,(343)079-7752,"38844 Palmer Ford Apt. 995, Christineport, GU 16661",24 December 2020,(638)007-1607x1798,tmiller@example.org,"0012 William Mission Suite 049, New Kyleburgh, MN 98009",GB Bank,66987897,"[[1, ""Enhanced radical groupware"", 7, 55.94, 391.58]]",391.58,1.68,389.9
Cooper-Green,23408-2,EMILY FORD,746-095-9772x674,"66816 Lane Neck Apt. 693, South Rebeccahaven, MO 62512",06 July 2021,(616)190-6114x7414,maxwelljennifer@example.org,"9230 Becker Heights, Susanmouth, NM 67550",GB Bank,32208298,"[[1, ""Configurable context-sensitive emulation"", 6, 38.66, 231.96], [2, ""User-centric value-added archive"", 5, 62.46, 312.3], [3, ""Centralized tertiary info-mediaries"", 8, 42.9, 343.2]]",887.46,51.02,836.44
Morgan Ltd,19831-4,TERESA HANSEN,784-081-8105x27956,"6009 Joyce Keys, Obrienside, IA 59122",03 December 2020,+1-912-550-8388x9234,rherring@example.org,"2490 Suzanne River Apt. 449, Williammouth, AK 20372",GB Bank,90276928,"[[1, ""Persevering didactic productivity"", 3, 57.21, 171.63], [2, ""Intuitive static frame"", 9, 37.13, 334.17]]",505.8,9.13,496.67
"Estrada, Swanson and White",35019-3,DAMON BAKER,0055343686,"7396 Frederick Common, West Jesseport, MA 09727",19 March 2022,225-730-7700x753,uhayes@example.net,"9373 Eileen Passage, North Lori, NH 56718",GB Bank,82672258,"[[1, ""Realigned value-added archive"", 8, 72.39, 579.12], [2, ""Mandatory static matrices"", 5, 47.34, 236.7]]",815.82,43.03,772.79
"Hill, Reynolds and Smith",16135-4,KRISTIN CHAMBERS,616-670-8007x57991,"09739 Kyle Road Suite 729, Omarhaven, TN 51257",30 October 2022,435-194-0514x8285,matthew43@example.com,"994 Bates Burgs Suite 093, South Iantown, PR 67344",GB Bank,41958944,"[[1, ""Optimized uniform structure"", 4, 28.28, 113.12], [2, ""Reactive methodical concept"", 8, 34.63, 277.04]]",390.16,11.73,378.43
"Harris, Adams and Smith",48311-5,BROOKE FRANKLIN,001-316-754-8086x71818,"36354 Tonya Walk Suite 544, Sanchezmouth, KY 66523",10 February 2022,743.131.1148x531,smithdavid@example.com,"810 Smith Dam, Port Heatherberg, CT 83109",GB Bank,83861861,"[[1, ""Business-focused context-sensitive algorithm"", 2, 14.26, 28.52], [2, ""Digitized uniform collaboration"", 8, 87.01, 696.08]]",724.6,4.13,720.47
"Lang, Ross and Anderson",77494-8,PATRICIA BROWNING,(024)002-9679,"58987 Ann Road Suite 884, Coffeystad, TN 47093",04 October 2022,+1-287-649-6998x27940,ysheppard@example.com,"USNS Cummings, FPO AE 59276",GB Bank,46451283,"[[1, ""Enhanced empowering solution"", 10, 73.98, 739.8]]",739.8,39.8,700.0
Knight-Moore,84785-1,MEGAN LINDSEY,+1-629-279-9038x82674,"8375 Richardson Crest Apt. 402, East Valerie, AS 96235",12 November 2021,183.890.2401x6362,gregorystephanie@example.net,"3724 Kelly Highway Apt. 010, North Jasonton, SD 65898",GB Bank,92979879,"[[1, ""Proactive incremental approach"", 3, 55.4, 166.2]]",166.2,5.08,161.12
"Miller, Sherman and Pacheco",21051-2,JERMAINE REED,+1-815-325-8533x6236,"4639 Arias Pass Apt. 476, South Richardport, MO 14096",21 March 2022,001-501-836-1816x660,xsullivan@example.net,"49259 Howell Port, Lake Timothy, IL 83338",GB Bank,60966431,"[[1, ""Phased dynamic circuit"", 1, 96.23, 96.23], [2, ""Profound responsive Internet solution"", 10, 21.09, 210.9], [3, ""Re-engineered mobile artificial intelligence"", 9, 62.37, 561.33]]",868.46,80.09,788.37
"Gibson, Cortez and Manning",57018-5,MIRANDA RODRIGUEZ,(577)600-5670,"4211 Davis Forks, Ramirezbury, OK 83168",04 November 2021,001-984-853-0763x99221,joannebutler@example.org,"0411 Nelson Cliff, Katherineland, MI 51252",GB Bank,81668438,"[[1, ""Cloned client-driven adapter"", 4, 66.3, 265.2]]",265.2,6.55,258.65
