issuer,invoice_n,billed_to,mobile,address,date,email,data,subtotal,tax,total
Hess and Sons,40768,MRS. NATALIE BROWN MD,(609)920-1344,"Unit 6147 Box 8738, DPO AA 78548",04/07/2018,gregorymary@example.com,"[[""Stand-alone tertiary extranet"", 3, 86.27, 258.81]]",258.81,25.88,284.69
Leach PLC,57277,NANCY WILLIAMS,+1-874-003-0038x6277,"581 Craig Forge, Kaylastad, CA 50328",18/10/2022,orozcocarrie@example.net,"[[""Enterprise-wide regional synergy"", 4, 73.77, 295.08]]",295.08,29.51,324.59
Smith-Perry,61404,CYNTHIA RICHARDS,001-961-481-6971x146,"USNS Fields, FPO AA 11237",23/03/2021,mariasmith@example.com,"[[""Profit-focused motivating moderator"", 3, 57.78, 173.34], [""Devolved regional groupware"", 2, 48.05, 96.1], [""Extended 4thgeneration benchmark"", 4, 93.55, 374.2], [""Inverse multimedia installation"", 2, 59.82, 119.64], [""Cross-group client-driven middleware"", 3, 83.14, 249.42]]",1012.7,101.27,1113.97
Benson PLC,26192,DUSTIN ALLEN,001-957-629-3709x30639,"5065 Michael Harbors, South Mariamouth, ID 52556",27/03/2021,davisderek@example.org,"[[""Quality-focused impactful portal"", 3, 32.14, 96.42], [""Realigned zero tolerance groupware"", 4, 15.85, 63.4], [""Devolved next generation encoding"", 5, 63.51, 317.55], [""Sharable explicit ability"", 4, 65.75, 263.0]]",740.37,74.04,814.41
Prince Ltd,74710,MICHELE RAMOS,568-406-9142,"7021 Ryan Camp, West Jennifer, AS 57096",15/07/2022,caseyfoster@example.com,"[[""Synergistic analyzing secured line"", 4, 83.55, 334.2], [""Decentralized well-modulated concept"", 4, 45.97, 183.88], [""Cloned even-keeled support"", 4, 48.31, 193.24], [""Balanced cohesive support"", 3, 19.35, 58.05]]",769.37,76.94,846.31
Roberts-Mitchell,91208,ADAM CAMPBELL,453-808-9451x51601,"88347 Kelley Station Suite 920, East Leah, HI 18136",02/09/2020,williamsdavid@example.org,"[[""Diverse intermediate projection"", 1, 54.72, 54.72], [""Profound optimizing data-warehouse"", 2, 85.91, 171.82]]",226.54,22.65,249.19
Skinner-Davis,74012,ERIK MILLS,(945)831-3039x9494,"USCGC Perkins, FPO AP 21863",19/12/2018,kelly88@example.com,"[[""Versatile 24/7 intranet"", 4, 64.66, 258.64], [""Synergized content-based paradigm"", 5, 47.61, 238.05]]",496.69,49.67,546.36
Cobb-Gregory,37800,KIMBERLY GAY,076-203-4180x346,"705 Barbara Meadows Apt. 124, Yangland, NH 40183",25/06/2018,tinataylor@example.net,"[[""Switchable non-volatile time-frame"", 2, 27.36, 54.72], [""Persevering mobile matrix"", 4, 44.75, 179.0], [""Realigned homogeneous website"", 4, 54.14, 216.56], [""Fully-configurable neutral solution"", 2, 81.14, 162.28]]",612.56,61.26,673.82
Hinton-Roberson,57641,TAYLOR DAVIS,(522)980-3662x9039,"88188 Rachael Vista, Debbiemouth, UT 28300",02/09/2022,amandagoodwin@example.net,"[[""User-friendly context-sensitive capacity"", 5, 79.27, 396.35], [""Diverse global budgetary management"", 3, 78.39, 235.17], [""User-centric uniform artificial intelligence"", 4, 16.96, 67.84], [""Adaptive local toolset"", 3, 13.97, 41.91], [""Diverse tertiary firmware"", 4, 31.86, 127.44]]",868.71,86.87,955.58
Martin LLC,44325,MICHAEL JONES,471.704.3486x6227,"65318 Williams Park Suite 128, New Alejandraberg, CA 40298",01/10/2021,hrush@example.com,"[[""Function-based directional infrastructure"", 2, 35.14, 70.28], [""Total bandwidth-monitored emulation"", 1, 21.96, 21.96], [""Reduced neutral emulation"", 5, 99.72, 498.6], [""Digitized background portal"", 1, 10.95, 10.95]]",601.79,60.18,661.97
"Kelly, Krueger and Russell",14991,HEATHER CHRISTENSEN DDS,001-089-423-9271,"6311 Tammy Ford, South Logan, MI 75501",21/05/2021,jmcintosh@example.com,"[[""Total next generation access"", 2, 75.47, 150.94]]",150.94,15.09,166.03
Leonard-Hall,59647,ERIC EVANS,435.296.5505,"USCGC Velez, FPO AA 74962",01/09/2022,edwardjones@example.com,"[[""Multi-tiered 6thgeneration time-frame"", 3, 60.83, 182.49], [""Decentralized content-based challenge"", 5, 52.45, 262.25], [""Advanced bi-directional orchestration"", 5, 32.42, 162.1], [""Mandatory heuristic standardization"", 5, 83.66, 418.3]]",1025.14,102.51,1127.65
"Rodriguez, Mendez and Gibson",42902,TANYA SANCHEZ,276.109.3062x6992,"8148 Thompson Point, Gentryland, KY 28961",07/08/2020,wattsrobert@example.net,"[[""Synchronized analyzing task-force"", 2, 48.74, 97.48], [""Front-line mission-critical circuit"", 2, 52.42, 104.84], [""Fully-configurable responsive migration"", 4, 60.67, 242.68], [""Persistent zero-defect infrastructure"", 4, 98.74, 394.96]]",839.96,84.0,923.96
Brown-Khan,96066,MICHAEL MENDOZA,(816)069-3502x9235,"03046 Barker Orchard, Armstrongton, OH 86985",02/02/2022,patrick07@example.net,"[[""Monitored full-range service-desk"", 1, 90.35, 90.35], [""Cloned actuating knowledge user"", 1, 42.96, 42.96], [""Horizontal heuristic strategy"", 3, 15.03, 45.09], [""Up-sized 24/7 hub"", 5, 33.1, 165.5]]",343.9,34.39,378.29
Hughes-Guzman,73514,KENNETH COLLINS,060-064-1950x8520,"197 Johnathan Circles Suite 484, West Amytown, NH 49695",10/08/2022,nicholasfernandez@example.com,"[[""Object-based bottom-line core"", 5, 64.38, 321.9], [""Enhanced well-modulated middleware"", 3, 23.4, 70.2], [""Function-based discrete collaboration"", 1, 34.93, 34.93], [""Synergistic solution-oriented ability"", 2, 59.73, 119.46], [""Robust mission-critical frame"", 4, 34.06, 136.24]]",682.73,68.27,751.0
"Porter, Green and Hernandez",23730,JAMES BROWN,(637)519-5973x4619,"76847 Bowers Garden, South Maria, CT 33794",22/11/2022,smithjoshua@example.com,"[[""Implemented interactive success"", 1, 99.56, 99.56]]",99.56,9.96,109.52
"Burns, Thompson and Hill",96413,BENJAMIN YATES,+1-844-712-5145x7402,"3044 David Crossroad, North Allisonside, KS 90204",26/12/2021,donnamendez@example.com,"[[""Customer-focused even-keeled capability"", 4, 13.11, 52.44]]",52.44,5.24,57.68
Alvarez PLC,85894,MICHAEL HATFIELD,001-173-873-8971x67039,"37010 Murillo Islands Apt. 822, Christinachester, MO 99116",10/02/2022,humphreytyler@example.net,"[[""Enterprise-wide exuding portal"", 4, 17.72, 70.88], [""Synergistic uniform budgetary management"", 5, 33.98, 169.9], [""Configurable bi-directional middleware"", 5, 67.16, 335.8]]",576.58,57.66,634.24
Little LLC,36763,TYLER WHEELER,562-208-3552x3684,"806 Wyatt Village, East Katelynshire, ID 53998",07/07/2020,lopezcharles@example.org,"[[""Diverse intermediate monitoring"", 5, 15.67, 78.35], [""Virtual client-driven open system"", 1, 69.52, 69.52], [""Extended global infrastructure"", 1, 11.19, 11.19], [""Future-proofed dedicated Graphic Interface"", 5, 56.89, 284.45]]",443.51,44.35,487.86
"Cooper, Morris and Johnson",66295,DANIELLE JOHNSON,(045)671-9257x04531,"369 Brian Shoals, Joshuaburgh, NJ 03371",09/11/2018,barnesjake@example.net,"[[""Ergonomic mission-critical standardization"", 2, 11.02, 22.04], [""Universal fresh-thinking concept"", 3, 53.63, 160.89], [""Fundamental encompassing success"", 4, 37.7, 150.8], [""Realigned stable moratorium"", 4, 60.82, 243.28]]",577.01,57.7,634.71
Warner LLC,48795,BRIANNA ALVARADO,676-780-4060x9986,"73081 Walker Plaza, Teresaview, AR 35588",25/01/2021,mariawallace@example.org,"[[""Exclusive bandwidth-monitored open architecture"", 2, 60.53, 121.06]]",121.06,12.11,133.17
Ford Inc,24154,JACK OWEN,542.005.1234x820,"939 James Village, New Connie, TX 92452",24/08/2019,josephthompson@example.org,"[[""Reverse-engineered responsive groupware"", 2, 39.33, 78.66], [""Secured coherent solution"", 1, 36.89, 36.89], [""Right-sized regional matrix"", 4, 23.06, 92.24], [""Versatile systematic system engine"", 4, 82.63, 330.52]]",538.31,53.83,592.14
"Coleman, Stephens and Anderson",67115,RICHARD MITCHELL,166-696-0546x899,"382 Mendoza Lodge, New Hannahfort, AS 71188",13/08/2018,igibbs@example.org,"[[""Right-sized responsive artificial intelligence"", 1, 55.92, 55.92], [""Cloned systemic approach"", 4, 96.0, 384.0]]",439.92,43.99,483.91
Wells Ltd,62165,KATHRYN CRUZ,(106)285-6582x90611,"115 Chad Islands, Port Daniel, WV 09263",22/04/2019,davisdaniel@example.net,"[[""Exclusive empowering moderator"", 2, 66.07, 132.14], [""Automated user-facing collaboration"", 1, 39.49, 39.49]]",171.63,17.16,188.79
Lopez-Leon,72590,DANIEL PETTY,825-900-3470,"7483 Cody Trace, Wilsonburgh, OH 54657",22/11/2019,jonesangela@example.com,"[[""Cloned 5thgeneration parallelism"", 1, 54.83, 54.83]]",54.83,5.48,60.31
Perez-Miller,89646,KATHRYN LIN,281.555.2634x6930,"3516 Marie Freeway Suite 236, Grayton, IN 06018",16/07/2018,millskyle@example.org,"[[""Multi-layered holistic flexibility"", 1, 38.74, 38.74], [""Polarized local encryption"", 3, 78.77, 236.31], [""Digitized didactic Graphic Interface"", 4, 44.09, 176.36]]",451.41,45.14,496.55
Rodriguez-Stone,40690,NICOLE STOUT,+1-441-259-6405x21195,"7606 Marshall Hills Apt. 039, Kristenville, CA 86382",24/10/2019,leeramirez@example.net,"[[""Customizable context-sensitive throughput"", 2, 85.91, 171.82], [""Compatible composite synergy"", 2, 61.69, 123.38], [""Compatible web-enabled toolset"", 2, 94.18, 188.36], [""Fundamental secondary concept"", 4, 46.08, 184.32], [""Triple-buffered system-worthy encoding"", 4, 53.11, 212.44]]",880.32,88.03,968.35
Hobbs Group,18142,DAWN MILLER,001-801-579-3127x72410,"52637 Johnson Vista Apt. 198, Joelborough, GA 17733",29/11/2018,brownedward@example.com,"[[""Adaptive holistic complexity"", 2, 97.94, 195.88], [""Virtual dedicated system engine"", 4, 90.69, 362.76]]",558.64,55.86,614.5
Hudson Group,38658,JASON COLEMAN,(453)754-8206x4401,"0756 Nichols Mountains, Gallegosborough, CT 79538",28/08/2019,dianegutierrez@example.com,"[[""Optimized exuding open system"", 5, 20.94, 104.7], [""Enterprise-wide impactful info-mediaries"", 3, 70.72, 212.16], [""Networked 5thgeneration product"", 1, 34.11, 34.11], [""Triple-buffered fresh-thinking capacity"", 1, 63.6, 63.6]]",414.57,41.46,456.03
Monroe Ltd,89484,ALEXANDER PERKINS,(520)678-8437x936,"PSC 2565, Box 4875, APO AE 66966",09/06/2020,guy89@example.com,"[[""Compatible needs-based website"", 2, 88.4, 176.8], [""Enhanced 6thgeneration open architecture"", 1, 92.01, 92.01]]",268.81,26.88,295.69
"Schmidt, Gutierrez and Williams",59704,SARAH MCFARLAND,001-887-250-8856,"16910 John Isle, Darleneborough, AK 77420",19/05/2019,webbdaniel@example.net,"[[""Streamlined client-driven installation"", 3, 22.42, 67.26], [""Implemented heuristic orchestration"", 4, 25.49, 101.96], [""Polarized asymmetric website"", 2, 94.74, 189.48], [""Programmable hybrid capacity"", 1, 72.8, 72.8], [""Self-enabling radical encoding"", 2, 21.99, 43.98]]",475.48,47.55,523.03
Peterson-Bell,69852,BRIANNA FRANCIS,(911)748-5955,"2545 Stewart Flats Apt. 064, Lake Robertburgh, TX 70673",11/02/2023,josephhoward@example.org,"[[""Vision-oriented fault-tolerant superstructure"", 3, 22.31, 66.93], [""Enterprise-wide actuating secured line"", 5, 25.16, 125.8], [""Synergized background initiative"", 3, 93.64, 280.92]]",473.65,47.37,521.02
Jones LLC,97884,CASSIDY COLLINS,135-097-4165x5796,"19925 Powell Bridge, Lake Keith, NJ 85721",09/02/2022,ramseythomas@example.com,"[[""Reactive web-enabled toolset"", 4, 57.28, 229.12]]",229.12,22.91,252.03
Winters-Butler,49301,PATRICIA HAYNES,(428)110-6135,"837 Ferguson Stravenue, Patricialand, NM 35120",26/11/2020,mcintoshchristian@example.net,"[[""Streamlined tertiary encryption"", 4, 69.11, 276.44]]",276.44,27.64,304.08
Diaz Group,73054,SHAWN WRIGHT,001-742-919-4106,"912 Wilson Prairie Suite 023, Raymouth, NY 23156",27/01/2022,benjamin85@example.net,"[[""Organic impactful portal"", 3, 81.06, 243.18], [""Re-engineered secondary knowledge user"", 5, 18.41, 92.05], [""Persistent well-modulated encoding"", 1, 62.23, 62.23], [""Quality-focused intangible initiative"", 1, 20.08, 20.08], [""Re-engineered national frame"", 1, 65.45, 65.45]]",482.99,48.3,531.29
"Smith, Martin and Wright",77610,TONYA ORTIZ,+1-174-056-2963,"PSC 3268, Box 7728, APO AA 43447",01/06/2020,wilkinsondale@example.net,"[[""Open-source coherent software"", 5, 66.83, 334.15], [""Enhanced multi-state strategy"", 4, 92.85, 371.4], [""Face-to-face value-added focus group"", 3, 10.88, 32.64]]",738.19,73.82,812.01
"Klein, Clark and Bowen",41894,GARY MUELLER,586-759-0994,"22001 Evans Crest, Brownberg, AK 09517",26/08/2019,victoriahanson@example.net,"[[""Quality-focused real-time circuit"", 5, 46.79, 233.95]]",233.95,23.39,257.34
Martinez-Curry,13642,THOMAS ADAMS,728-812-7106x96613,"72618 Tim Walks Suite 674, Port Sethland, NY 33496",26/07/2018,samuelmartin@example.com,"[[""Robust foreground budgetary management"", 5, 47.18, 235.9], [""Fundamental impactful instruction set"", 4, 73.49, 293.96], [""Ameliorated value-added knowledge user"", 1, 39.91, 39.91]]",569.77,56.98,626.75
"Valenzuela, Garcia and Hill",76834,JOAN STEVENS,815.897.4070,"28893 Alexander Plain Suite 611, Alexandraton, VT 58301",20/02/2023,barnettshawn@example.net,"[[""User-centric bi-directional superstructure"", 3, 11.94, 35.82]]",35.82,3.58,39.4
"White, Smith and Sutton",59152,TERESA SANCHEZ,770-595-7103,"5048 Cynthia Knolls, Caldwelltown, NC 39945",22/10/2018,dkelly@example.com,"[[""Automated dedicated function"", 4, 25.77, 103.08], [""Front-line zero tolerance product"", 2, 39.32, 78.64], [""Realigned even-keeled capability"", 4, 62.45, 249.8], [""Multi-layered radical hub"", 5, 24.16, 120.8], [""Multi-channeled empowering pricing structure"", 1, 75.31, 75.31]]",627.63,62.76,690.39
Morales Group,78930,ANA REED,813.587.2013x84280,"415 Tammy Road Apt. 316, New Kristy, TN 26011",17/12/2022,williamsroy@example.org,"[[""Fully-configurable local success"", 2, 56.49, 112.98], [""Face-to-face fault-tolerant approach"", 3, 11.61, 34.83]]",147.81,14.78,162.59
"Martinez, Johnston and Peterson",85039,DONNA LAMBERT,327-545-2721,"4617 Thomas Summit Suite 463, New Geoffrey, SD 31797",29/08/2020,alexandrafletcher@example.net,"[[""Advanced local access"", 5, 22.33, 111.65], [""Realigned well-modulated function"", 2, 69.21, 138.42], [""Intuitive executive Graphical User Interface"", 3, 25.0, 75.0]]",325.07,32.51,357.58
"Webb, Brown and Kramer",52740,JENNIFER GUERRERO,(505)577-3170,"3492 William Spring, Robertport, AZ 97730",29/07/2020,angelicaserrano@example.net,"[[""Visionary heuristic standardization"", 3, 90.31, 270.93]]",270.93,27.09,298.02
Taylor LLC,80554,AMANDA HORN,(021)391-2527x422,"03362 Cameron Stream, Dylanport, CA 20351",10/03/2022,jonescrystal@example.com,"[[""Fully-configurable upward-trending hierarchy"", 2, 91.66, 183.32], [""Switchable upward-trending adapter"", 2, 55.74, 111.48], [""Polarized discrete time-frame"", 3, 12.7, 38.1], [""Decentralized mobile implementation"", 4, 87.78, 351.12], [""Open-source background budgetary management"", 3, 51.37, 154.11]]",838.13,83.81,921.94
"King, Dodson and Carpenter",55922,DAVID FISHER,001-113-539-0845x571,"95964 Peters Loop Apt. 932, Sellersberg, TX 42400",26/04/2019,desiree45@example.org,"[[""Cross-group demand-driven solution"", 3, 39.56, 118.68], [""Inverse multimedia framework"", 5, 64.16, 320.8], [""Triple-buffered motivating instruction set"", 1, 94.52, 94.52], [""Balanced clear-thinking protocol"", 4, 37.12, 148.48]]",682.48,68.25,750.73
Cross Ltd,34034,CHRISTOPHER HERNANDEZ,(792)973-5357x4002,"08202 Ward Bridge, Wilsonton, ME 38710",20/05/2018,pbryant@example.net,"[[""Front-line incremental emulation"", 1, 76.56, 76.56], [""Virtual exuding application"", 5, 90.73, 453.65], [""Multi-channeled holistic middleware"", 2, 12.24, 24.48], [""Virtual systematic methodology"", 4, 14.13, 56.52]]",611.21,61.12,672.33
Willis-Jones,64302,MARIA DAVIS,3218685525,"46333 Colon Run Suite 100, Jacksonfort, WY 10557",03/01/2020,coledavidson@example.com,"[[""Ergonomic global solution"", 2, 80.12, 160.24]]",160.24,16.02,176.26
Gordon-Jackson,34044,BONNIE HARRIS,(915)555-1731x8839,"PSC 0635, Box 9520, APO AP 25735",22/10/2021,amandaporter@example.net,"[[""Managed system-worthy benchmark"", 3, 67.67, 203.01]]",203.01,20.3,223.31
"Rivera, Hodges and Boyer",84315,DR. COREY WILKINS,001-504-969-2230,"6016 David Stream, Sharonport, GU 96230",10/11/2021,tuckerronald@example.com,"[[""Business-focused 24hour support"", 1, 23.21, 23.21]]",23.21,2.32,25.53
"Weber, Elliott and Armstrong",59209,EVELYN JOHNSON,001-857-933-1081x71797,"USS King, FPO AP 49210",29/10/2019,jamesweeks@example.com,"[[""Synchronized modular conglomeration"", 4, 94.1, 376.4], [""Programmable bi-directional standardization"", 1, 86.66, 86.66], [""Customizable bandwidth-monitored data-warehouse"", 5, 34.67, 173.35], [""Multi-layered local capacity"", 2, 65.7, 131.4], [""Decentralized regional contingency"", 3, 14.64, 43.92]]",811.73,81.17,892.9
"Murray, Garcia and Holt",26520,JODI KIM,+1-724-684-0707x57584,"8905 Curtis Valley, South Jerryview, MD 37916",18/03/2019,smithmichelle@example.org,"[[""Progressive fresh-thinking projection"", 4, 56.35, 225.4], [""Synchronized tertiary forecast"", 2, 98.31, 196.62]]",422.02,42.2,464.22
Ramirez-Roberts,28132,ANGELA EVANS,+1-333-601-7460,"79439 Griffin Rapids, Kellyfort, AR 19775",04/10/2018,herreramary@example.net,"[[""Enterprise-wide client-server model"", 4, 64.22, 256.88]]",256.88,25.69,282.57
Bowers-Garcia,22053,MICHAEL SCOTT,316.941.1269x66987,"4799 Kimberly Street, West Zacharyhaven, GA 41095",24/04/2020,davispatrick@example.net,"[[""User-centric 24hour data-warehouse"", 2, 73.06, 146.12], [""Multi-tiered asynchronous throughput"", 4, 32.38, 129.52]]",275.64,27.56,303.2
Stanton-Foster,66643,ANTHONY MORALES,001-045-419-6567x33495,"86364 Howard Cape, Martinezstad, NC 38020",04/12/2022,tdiaz@example.com,"[[""Devolved optimizing architecture"", 3, 50.37, 151.11], [""Organized bottom-line protocol"", 1, 30.65, 30.65], [""Mandatory fresh-thinking firmware"", 5, 54.83, 274.15], [""Visionary 6thgeneration frame"", 4, 86.37, 345.48], [""Grass-roots radical definition"", 1, 27.41, 27.41]]",828.8,82.88,911.68
"Haynes, West and White",44119,KAREN DURAN,265-670-4151,"79227 Odonnell Courts Apt. 658, Hillton, AR 09379",14/06/2022,millercrystal@example.com,"[[""Public-key multimedia productivity"", 5, 60.57, 302.85], [""Persevering motivating policy"", 4, 70.28, 281.12], [""Robust homogeneous Graphic Interface"", 4, 25.59, 102.36], [""Streamlined actuating benchmark"", 5, 30.3, 151.5], [""Integrated directional hardware"", 5, 23.08, 115.4]]",953.23,95.32,1048.55
Garza Group,64094,BROOKE MOORE,(321)799-6578x54167,"55618 Edwards Knoll, Christopherfurt, ID 08829",25/08/2022,amyrivera@example.com,"[[""Horizontal non-volatile encryption"", 5, 17.42, 87.1], [""Total background database"", 2, 26.92, 53.84], [""Programmable multimedia ability"", 3, 68.23, 204.69], [""Robust client-server algorithm"", 2, 39.97, 79.94]]",425.57,42.56,468.13
